N,M,scaled_t_obs,B,process,mean_p,mean_q,mean_gamma,mean_alpha,mean_beta,mean_iter,se_p,se_q,se_gamma,se_alpha,se_beta,se_iter,total
30,50,2.78,50000,ER,0.63666211999999989,0.33543489999999998,1.6465225499999998,0.088824022000000002,0.0340654045,3.1499999999999999,0.041805714803572029,0.053172958032951294,0.1108789305573764,0.012601728813115524,0.010760428780067957,0.35707142142714249,20
30,100,5.56,50000,ER,0.66902686,0.30994505999999999,1.7284242000000003,0.12071002800000001,0.031524312500000005,3.1000000000000001,0.02906483987498298,0.044129537342129481,0.066384477746382842,0.016873839556707182,0.0076905344406444703,0.29999999999999999,20
30,150,8.33,50000,ER,0.68381352000000006,0.30738362999999996,1.8021341999999994,0.14287010500000002,0.029166220999999999,3.2000000000000002,0.027328429357989088,0.045621607755055055,0.084117078782848853,0.015476135873158877,0.006906590856234282,0.39999999999999997,20
30,200,11.11,50000,ER,0.68362188499999998,0.31077541000000009,1.9199548,0.16346466000000001,0.025938672999999995,3.5,0.023893157081605505,0.034383135122729863,0.096312815178251313,0.023081524673933481,0.0052778293664461151,0.5,20
50,50,1.67,50000,ER,0.5724641399999999,0.43091521500000002,1.5182449000000002,0.062835092499999995,0.029241646000000003,3.0499999999999998,0.038345737223782768,0.077960576215599361,0.045622510425118001,0.0045173355625953617,0.0076558868681403597,0.58949130612757983,20
50,100,3.33,50000,ER,0.61295856000000015,0.37390430999999991,1.5813333000000001,0.082286843499999984,0.034435326999999995,3.0,0.028752143764220441,0.053294859908765112,0.054289951642177765,0.0070706712623401424,0.0065866618945320862,0.0,20
50,150,5.0,50000,ER,0.64366794500000002,0.37139840000000002,1.6557221500000001,0.096323472499999993,0.034000879999999997,3.0,0.025821783298670041,0.027302923091969484,0.062421495719243214,0.0092358981163663083,0.0061117471164970497,0.0,20
50,200,6.67,50000,ER,0.65343093500000005,0.33706123999999993,1.6906281500000002,0.10688981,0.037935358999999995,3.0,0.02344111483330677,0.02641721461003033,0.04631805287819752,0.0097699922344237303,0.0051421852710631698,0.0,20
70,50,1.19,50000,ER,0.52596439000000006,0.53722587000000011,1.52620405,0.050065020000000002,0.023932480999999999,2.7999999999999998,0.034722372189870614,0.060620305619067123,0.055116189191085227,0.0025898928826652273,0.0043342064470406807,0.5099019513592784,20
70,100,2.38,50000,ER,0.57212354999999981,0.48087803500000004,1.5331514999999996,0.064477055499999991,0.030075697499999998,2.8999999999999999,0.03047963041546765,0.059962042679367389,0.050997494996813331,0.0040318001710755395,0.0065994668450124628,0.29999999999999999,20
70,150,3.57,50000,ER,0.6016411599999999,0.44395517000000007,1.5347114000000004,0.074795500500000014,0.032777070499999998,3.0,0.019795322366342009,0.04732812409363063,0.03769350129982621,0.0042926423270853529,0.0049855067271938119,0.0,20
70,200,4.76,50000,ER,0.61112219499999987,0.39479004000000001,1.5804423000000001,0.083319056000000002,0.036267830500000001,3.0,0.025409983673282326,0.036713480259836444,0.03749301813284709,0.0053460619749366913,0.0057819238461540431,0.0,20
100,50,0.83,50000,ER,0.51558421999999993,0.65545227499999992,1.6109386999999997,0.040906987500000005,0.018198197999999999,2.75,0.017582061965611424,0.062042076786652425,0.048945055411246573,0.0018080326729096327,0.0028606748223427977,0.62249497989943658,20
100,100,1.67,50000,ER,0.53471773500000008,0.56528228000000003,1.5398484499999998,0.049425508999999992,0.025443779500000003,2.5499999999999998,0.021422913492736576,0.039960123392759943,0.024196091606858729,0.0025353828297357776,0.0042613404837497735,0.49749371855331004,20
100,150,2.5,50000,ER,0.55382310000000001,0.52794956500000001,1.5335639000000003,0.056932047999999999,0.028937412000000003,2.75,0.022340648380094068,0.038743782674776038,0.025992489595842886,0.0025330834223483436,0.0057450975553523893,0.4330127018922193,20
100,200,3.33,50000,ER,0.56243768999999999,0.50483375000000008,1.5241206,0.063876740000000001,0.030340891499999995,2.8999999999999999,0.018892127097680133,0.035409657881000492,0.021216610250933125,0.0024367829692465435,0.0064834849870885605,0.29999999999999999,20
